Date,Open,High,Low,Close
1855-11-30,7.9,7.9,7.9,7.9
1855-12-31,5.8,5.8,5.8,5.8
1856-01-31,1,1,1,1
1856-02-29,9.3,9.3,9.3,9.3
1856-03-31,0.7,0.7,0.7,0.7
1856-04-30,12.4,12.4,12.4,12.4
1856-05-31,0.1,0.1,0.1,0.1
1856-06-30,9.8,9.8,9.8,9.8
1856-07-31,8.8,8.8,8.8,8.8
1856-08-31,11.3,11.3,11.3,11.3
1856-09-30,8.4,8.4,8.4,8.4
1856-10-31,8.5,8.5,8.5,8.5
1856-11-30,14.7,14.7,14.7,14.7
1856-12-31,13.7,13.7,13.7,13.7
1857-01-31,26,26,26,26
1857-02-28,14.2,14.2,14.2,14.2
1857-03-31,10,10,10,10
1857-04-30,21.1,21.1,21.1,21.1
1857-05-31,54.2,54.2,54.2,54.2
1857-06-30,30.5,30.5,30.5,30.5
1857-07-31,42.2,42.2,42.2,42.2
1857-08-31,32,32,32,32
1857-09-30,80.6,80.6,80.6,80.6
1857-10-31,77.1,77.1,77.1,77.1
1857-11-30,59.6,59.6,59.6,59.6
1857-12-31,70.7,70.7,70.7,70.7
1858-01-31,74.2,74.2,74.2,74.2
1858-02-28,66.3,66.3,66.3,66.3
1858-03-31,109.2,109.2,109.2,109.2
1858-04-30,72.8,72.8,72.8,72.8
1858-05-31,78.6,78.6,78.6,78.6
1858-06-30,84.5,84.5,84.5,84.5
1858-07-31,107.7,107.7,107.7,107.7
1858-08-31,104.9,104.9,104.9,104.9
1858-09-30,152.2,152.2,152.2,152.2
1858-10-31,173.2,173.2,173.2,173.2
1858-11-30,98.6,98.6,98.6,98.6
1858-12-31,127,127,127,127
1859-01-31,159,159,159,159
1859-02-28,166.4,166.4,166.4,166.4
1859-03-31,171.5,171.5,171.5,171.5
1859-04-30,162.9,162.9,162.9,162.9
1859-05-31,172.8,172.8,172.8,172.8
1859-06-30,165.2,165.2,165.2,165.2
1859-07-31,180.7,180.7,180.7,180.7
1859-08-31,203,203,203,203
1859-09-30,200.9,200.9,200.9,200.9
1859-10-31,217.8,217.8,217.8,217.8
1859-11-30,184.6,184.6,184.6,184.6
1859-12-31,153.9,153.9,153.9,153.9
1860-01-31,156.6,156.6,156.6,156.6
1860-02-29,167.9,167.9,167.9,167.9
1860-03-31,188,188,188,188
1860-04-30,135.7,135.7,135.7,135.7
1860-05-31,203.5,203.5,203.5,203.5
1860-06-30,206.3,206.3,206.3,206.3
1860-07-31,221.9,221.9,221.9,221.9
1860-08-31,190.5,190.5,190.5,190.5
1860-09-30,175.2,175.2,175.2,175.2
1860-10-31,171.1,171.1,171.1,171.1
1860-11-30,186,186,186,186
1860-12-31,181.7,181.7,181.7,181.7
1861-01-31,118.5,118.5,118.5,118.5
1861-02-28,147.5,147.5,147.5,147.5
1861-03-31,192,192,192,192
1861-04-30,187.1,187.1,187.1,187.1
1861-05-31,107.8,107.8,107.8,107.8
1861-06-30,167.5,167.5,167.5,167.5
1861-07-31,148.2,148.2,148.2,148.2
1861-08-31,156.7,156.7,156.7,156.7
1861-09-30,151.9,151.9,151.9,151.9
1861-10-31,127.7,127.7,127.7,127.7
1861-11-30,102,102,102,102
1861-12-31,152.8,152.8,152.8,152.8
1862-01-31,119.9,119.9,119.9,119.9
1862-02-28,122.4,122.4,122.4,122.4
1862-03-31,82.7,82.7,82.7,82.7
1862-04-30,102.1,102.1,102.1,102.1
1862-05-31,122.4,122.4,122.4,122.4
1862-06-30,159.7,159.7,159.7,159.7
1862-07-31,139.5,139.5,139.5,139.5
1862-08-31,118.7,118.7,118.7,118.7
1862-09-30,126.4,126.4,126.4,126.4
1862-10-31,79.8,79.8,79.8,79.8
1862-11-30,96,96,96,96
1862-12-31,77.6,77.6,77.6,77.6
1863-01-31,91.8,91.8,91.8,91.8
1863-02-28,107.7,107.7,107.7,107.7
1863-03-31,126,126,126,126
1863-04-30,77.1,77.1,77.1,77.1
1863-05-31,102.1,102.1,102.1,102.1
1863-06-30,77.6,77.6,77.6,77.6
1863-07-31,62,62,62,62
1863-08-31,91.3,91.3,91.3,91.3
1863-09-30,41.7,41.7,41.7,41.7
1863-10-31,75.7,75.7,75.7,75.7
1863-11-30,71.6,71.6,71.6,71.6
1863-12-31,78.1,78.1,78.1,78.1
1864-01-31,109.7,109.7,109.7,109.7
1864-02-29,89.5,89.5,89.5,89.5
1864-03-31,125.9,125.9,125.9,125.9
1864-04-30,68.1,68.1,68.1,68.1
1864-05-31,77.1,77.1,77.1,77.1
1864-06-30,109.9,109.9,109.9,109.9
1864-07-31,103.8,103.8,103.8,103.8
1864-08-31,104.1,104.1,104.1,104.1
1864-09-30,54.2,54.2,54.2,54.2
1864-10-31,64.4,64.4,64.4,64.4
1864-11-30,109.3,109.3,109.3,109.3
1864-12-31,54.3,54.3,54.3,54.3
1865-01-31,92.5,92.5,92.5,92.5
1865-02-28,74.6,74.6,74.6,74.6
1865-03-31,75,75,75,75
1865-04-30,55.9,55.9,55.9,55.9
1865-05-31,65.6,65.6,65.6,65.6
1865-06-30,63.8,63.8,63.8,63.8
1865-07-31,50.8,50.8,50.8,50.8
1865-08-31,71.8,71.8,71.8,71.8
1865-09-30,41,41,41,41
1865-10-31,32.5,32.5,32.5,32.5
1865-11-30,46.7,46.7,46.7,46.7
1865-12-31,24.3,24.3,24.3,24.3
1866-01-31,60,60,60,60
1866-02-28,72.9,72.9,72.9,72.9
1866-03-31,46.6,46.6,46.6,46.6
1866-04-30,33.5,33.5,33.5,33.5
1866-05-31,24.6,24.6,24.6,24.6
1866-06-30,31.4,31.4,31.4,31.4
1866-07-31,17.6,17.6,17.6,17.6
1866-08-31,24.2,24.2,24.2,24.2
1866-09-30,13.9,13.9,13.9,13.9
1866-10-31,26.8,26.8,26.8,26.8
1866-11-30,17.2,17.2,17.2,17.2
1866-12-31,2.9,2.9,2.9,2.9
1867-01-31,0.1,0.1,0.1,0.1
1867-02-28,1.4,1.4,1.4,1.4
1867-03-31,17.4,17.4,17.4,17.4
1867-04-30,9.7,9.7,9.7,9.7
1867-05-31,5.5,5.5,5.5,5.5
1867-06-30,2.8,2.8,2.8,2.8
1867-07-31,9.5,9.5,9.5,9.5
1867-08-31,9.1,9.1,9.1,9.1
1867-09-30,18.7,18.7,18.7,18.7
1867-10-31,25.5,25.5,25.5,25.5
1867-11-30,18.1,18.1,18.1,18.1
1867-12-31,47.9,47.9,47.9,47.9
1868-01-31,25.9,25.9,25.9,25.9
1868-02-29,26.3,26.3,26.3,26.3
1868-03-31,44,44,44,44
1868-04-30,61.1,61.1,61.1,61.1
1868-05-31,44.5,44.5,44.5,44.5
1868-06-30,51.8,51.8,51.8,51.8
1868-07-31,48.3,48.3,48.3,48.3
1868-08-31,57.3,57.3,57.3,57.3
1868-09-30,78.7,78.7,78.7,78.7
1868-10-31,102.8,102.8,102.8,102.8
1868-11-30,98.7,98.7,98.7,98.7
1868-12-31,112.8,112.8,112.8,112.8
1869-01-31,101.6,101.6,101.6,101.6
1869-02-28,99.9,99.9,99.9,99.9
1869-03-31,88,88,88,88
1869-04-30,68.4,68.4,68.4,68.4
1869-05-31,173.4,173.4,173.4,173.4
1869-06-30,180.7,180.7,180.7,180.7
1869-07-31,98.8,98.8,98.8,98.8
1869-08-31,132.7,132.7,132.7,132.7
1869-09-30,134.5,134.5,134.5,134.5
1869-10-31,99,99,99,99
1869-11-30,130.2,130.2,130.2,130.2
1869-12-31,174.1,174.1,174.1,174.1
1870-01-31,129,129,129,129
1870-02-28,191.7,191.7,191.7,191.7
1870-03-31,262.7,262.7,262.7,262.7
1870-04-30,266.9,266.9,266.9,266.9
1870-05-31,293.6,293.6,293.6,293.6
1870-06-30,226.3,226.3,226.3,226.3
1870-07-31,220.9,220.9,220.9,220.9
1870-08-31,256.5,256.5,256.5,256.5
1870-09-30,226.8,226.8,226.8,226.8
1870-10-31,244.3,244.3,244.3,244.3
1870-11-30,246,246,246,246
1870-12-31,216.7,216.7,216.7,216.7
1871-01-31,147.2,147.2,147.2,147.2
1871-02-28,209,209,209,209
1871-03-31,238.7,238.7,238.7,238.7
1871-04-30,270.9,270.9,270.9,270.9
1871-05-31,242.6,242.6,242.6,242.6
1871-06-30,152.9,152.9,152.9,152.9
1871-07-31,171.8,171.8,171.8,171.8
1871-08-31,183.7,183.7,183.7,183.7
1871-09-30,133.9,133.9,133.9,133.9
1871-10-31,148.5,148.5,148.5,148.5
1871-11-30,175.7,175.7,175.7,175.7
1871-12-31,150.8,150.8,150.8,150.8
1872-01-31,132.7,132.7,132.7,132.7
1872-02-29,200.3,200.3,200.3,200.3
1872-03-31,147.5,147.5,147.5,147.5
1872-04-30,170.4,170.4,170.4,170.4
1872-05-31,179.5,179.5,179.5,179.5
1872-06-30,183.3,183.3,183.3,183.3
1872-07-31,176,176,176,176
1872-08-31,155,155,155,155
1872-09-30,191.1,191.1,191.1,191.1
1872-10-31,171.2,171.2,171.2,171.2
1872-11-30,186.8,186.8,186.8,186.8
1872-12-31,139.9,139.9,139.9,139.9
1873-01-31,144.6,144.6,144.6,144.6
1873-02-28,178.4,178.4,178.4,178.4
1873-03-31,164,164,164,164
1873-04-30,127.1,127.1,127.1,127.1
1873-05-31,80,80,80,80
1873-06-30,74.8,74.8,74.8,74.8
1873-07-31,111.7,111.7,111.7,111.7
1873-08-31,113.8,113.8,113.8,113.8
1873-09-30,78.7,78.7,78.7,78.7
1873-10-31,78.6,78.6,78.6,78.6
1873-11-30,92.5,92.5,92.5,92.5
1873-12-31,82,82,82,82
1874-01-31,101.4,101.4,101.4,101.4
1874-02-28,107.1,107.1,107.1,107.1
1874-03-31,77.5,77.5,77.5,77.5
1874-04-30,53.5,53.5,53.5,53.5
1874-05-31,74.6,74.6,74.6,74.6
1874-06-30,63.8,63.8,63.8,63.8
1874-07-31,113.2,113.2,113.2,113.2
1874-08-31,102.3,102.3,102.3,102.3
1874-09-30,46.8,46.8,46.8,46.8
1874-10-31,57.4,57.4,57.4,57.4
1874-11-30,48.2,48.2,48.2,48.2
1874-12-31,48.8,48.8,48.8,48.8
1875-01-31,24.4,24.4,24.4,24.4
1875-02-28,35.9,35.9,35.9,35.9
1875-03-31,56.4,56.4,56.4,56.4
1875-04-30,48.6,48.6,48.6,48.6
1875-05-31,19.2,19.2,19.2,19.2
1875-06-30,39.9,39.9,39.9,39.9
1875-07-31,20.9,20.9,20.9,20.9
1875-08-31,24.4,24.4,24.4,24.4
1875-09-30,4,4,4,4
1875-10-31,21.3,21.3,21.3,21.3
1875-11-30,29.6,29.6,29.6,29.6
1875-12-31,16.5,16.5,16.5,16.5
1876-01-31,23.9,23.9,23.9,23.9
1876-02-29,25.1,25.1,25.1,25.1
1876-03-31,51.1,51.1,51.1,51.1
1876-04-30,3.9,3.9,3.9,3.9
1876-05-31,8.5,8.5,8.5,8.5
1876-06-30,2.7,2.7,2.7,2.7
1876-07-31,25.5,25.5,25.5,25.5
1876-08-31,14.8,14.8,14.8,14.8
1876-09-30,16.6,16.6,16.6,16.6
1876-10-31,23.9,23.9,23.9,23.9
1876-11-30,16.6,16.6,16.6,16.6
1876-12-31,13.6,13.6,13.6,13.6
1877-01-31,40.6,40.6,40.6,40.6
1877-02-28,14.5,14.5,14.5,14.5
1877-03-31,19.9,19.9,19.9,19.9
1877-04-30,26.3,26.3,26.3,26.3
1877-05-31,36.1,36.1,36.1,36.1
1877-06-30,23.6,23.6,23.6,23.6
1877-07-31,10,10,10,10
1877-08-31,10.5,10.5,10.5,10.5
1877-09-30,28.1,28.1,28.1,28.1
1877-10-31,11.2,11.2,11.2,11.2
1877-11-30,23.6,23.6,23.6,23.6
1877-12-31,3.5,3.5,3.5,3.5
1878-01-31,5.5,5.5,5.5,5.5
1878-02-28,11,11,11,11
1878-03-31,13.1,13.1,13.1,13.1
1878-04-30,0.2,0.2,0.2,0.2
1878-05-31,9.9,9.9,9.9,9.9
1878-06-30,10.7,10.7,10.7,10.7
1878-07-31,0.2,0.2,0.2,0.2
1878-08-31,0.1,0.1,0.1,0.1
1878-09-30,8.8,8.8,8.8,8.8
1878-10-31,1.9,1.9,1.9,1.9
1878-11-30,6.8,6.8,6.8,6.8
1878-12-31,0.9,0.9,0.9,0.9
1879-01-31,1.6,1.6,1.6,1.6
1879-02-28,0.9,0.9,0.9,0.9
1879-03-31,0.1,0.1,0.1,0.1
1879-04-30,10.4,10.4,10.4,10.4
1879-05-31,4,4,4,4
1879-06-30,8,8,8,8
1879-07-31,12.6,12.6,12.6,12.6
1879-08-31,17.9,17.9,17.9,17.9
1879-09-30,10.1,10.1,10.1,10.1
1879-10-31,20.4,20.4,20.4,20.4
1879-11-30,21.9,21.9,21.9,21.9
1879-12-31,12.2,12.2,12.2,12.2
1880-01-31,40.1,40.1,40.1,40.1
1880-02-29,45.4,45.4,45.4,45.4
1880-03-31,32.1,32.1,32.1,32.1
1880-04-30,32.4,32.4,32.4,32.4
1880-05-31,39.1,39.1,39.1,39.1
1880-06-30,56.9,56.9,56.9,56.9
1880-07-31,36.5,36.5,36.5,36.5
1880-08-31,80.3,80.3,80.3,80.3
1880-09-30,110.1,110.1,110.1,110.1
1880-10-31,71.7,71.7,71.7,71.7
1880-11-30,51.1,51.1,51.1,51.1
1880-12-31,49.4,49.4,49.4,49.4
1881-01-31,60.6,60.6,60.6,60.6
1881-02-28,88.6,88.6,88.6,88.6
1881-03-31,85.8,85.8,85.8,85.8
1881-04-30,86.1,86.1,86.1,86.1
1881-05-31,72.5,72.5,72.5,72.5
1881-06-30,100.8,100.8,100.8,100.8
1881-07-31,128.2,128.2,128.2,128.2
1881-08-31,97.3,97.3,97.3,97.3
1881-09-30,88.6,88.6,88.6,88.6
1881-10-31,107.3,107.3,107.3,107.3
1881-11-30,91.5,91.5,91.5,91.5
1881-12-31,78.8,78.8,78.8,78.8
1882-01-31,75,75,75,75
1882-02-28,115.9,115.9,115.9,115.9
1882-03-31,111.5,111.5,111.5,111.5
1882-04-30,159.6,159.6,159.6,159.6
1882-05-31,106.9,106.9,106.9,106.9
1882-06-30,75.4,75.4,75.4,75.4
1882-07-31,75.7,75.7,75.7,75.7
1882-08-31,67.5,67.5,67.5,67.5
1882-09-30,96.1,96.1,96.1,96.1
1882-10-31,98.6,98.6,98.6,98.6
1882-11-30,140.6,140.6,140.6,140.6
1882-12-31,69.7,69.7,69.7,69.7
1883-01-31,101,101,101,101
1883-02-28,78.2,78.2,78.2,78.2
1883-03-31,71.3,71.3,71.3,71.3
1883-04-30,136.8,136.8,136.8,136.8
1883-05-31,52.5,52.5,52.5,52.5
1883-06-30,127.2,127.2,127.2,127.2
1883-07-31,134.4,134.4,134.4,134.4
1883-08-31,76.6,76.6,76.6,76.6
1883-09-30,87.8,87.8,87.8,87.8
1883-10-31,139.6,139.6,139.6,139.6
1883-11-30,140.8,140.8,140.8,140.8
1883-12-31,126.5,126.5,126.5,126.5
1884-01-31,152.6,152.6,152.6,152.6
1884-02-29,144.8,144.8,144.8,144.8
1884-03-31,145.8,145.8,145.8,145.8
1884-04-30,126.9,126.9,126.9,126.9
1884-05-31,110.9,110.9,110.9,110.9
1884-06-30,85.3,85.3,85.3,85.3
1884-07-31,88.5,88.5,88.5,88.5
1884-08-31,93.1,93.1,93.1,93.1
1884-09-30,103.1,103.1,103.1,103.1
1884-10-31,79.6,79.6,79.6,79.6
1884-11-30,60.9,60.9,60.9,60.9
1884-12-31,78.6,78.6,78.6,78.6
1885-01-31,71.4,71.4,71.4,71.4
1885-02-28,119.7,119.7,119.7,119.7
1885-03-31,82.9,82.9,82.9,82.9
1885-04-30,91.7,91.7,91.7,91.7
1885-05-31,121.6,121.6,121.6,121.6
1885-06-30,139.5,139.5,139.5,139.5
1885-07-31,110.9,110.9,110.9,110.9
1885-08-31,83.5,83.5,83.5,83.5
1885-09-30,66,66,66,66
1885-10-31,64.5,64.5,64.5,64.5
1885-11-30,51.6,51.6,51.6,51.6
1885-12-31,36.3,36.3,36.3,36.3
1886-01-31,49.8,49.8,49.8,49.8
1886-02-28,43.2,43.2,43.2,43.2
1886-03-31,95.5,95.5,95.5,95.5
1886-04-30,72.9,72.9,72.9,72.9
1886-05-31,51.2,51.2,51.2,51.2
1886-06-30,45.3,45.3,45.3,45.3
1886-07-31,50.4,50.4,50.4,50.4
1886-08-31,28.1,28.1,28.1,28.1
1886-09-30,35.7,35.7,35.7,35.7
1886-10-31,14.4,14.4,14.4,14.4
1886-11-30,0.6,0.6,0.6,0.6
1886-12-31,21.7,21.7,21.7,21.7
1887-01-31,17,17,17,17
1887-02-28,22,22,22,22
1887-03-31,7.1,7.1,7.1,7.1
1887-04-30,11.6,11.6,11.6,11.6
1887-05-31,33.4,33.4,33.4,33.4
1887-06-30,26.1,26.1,26.1,26.1
1887-07-31,38.9,38.9,38.9,38.9
1887-08-31,35.7,35.7,35.7,35.7
1887-09-30,12.4,12.4,12.4,12.4
1887-10-31,11,11,11,11
1887-11-30,11.5,11.5,11.5,11.5
1887-12-31,34.5,34.5,34.5,34.5
1888-01-31,21.2,21.2,21.2,21.2
1888-02-29,11.8,11.8,11.8,11.8
1888-03-31,13.1,13.1,13.1,13.1
1888-04-30,8.5,8.5,8.5,8.5
1888-05-31,11.7,11.7,11.7,11.7
1888-06-30,11.8,11.8,11.8,11.8
1888-07-31,5,5,5,5
1888-08-31,4.6,4.6,4.6,4.6
1888-09-30,14.6,14.6,14.6,14.6
1888-10-31,3.4,3.4,3.4,3.4
1888-11-30,17.9,17.9,17.9,17.9
1888-12-31,11.1,11.1,11.1,11.1
1889-01-31,1.3,1.3,1.3,1.3
1889-02-28,14.2,14.2,14.2,14.2
1889-03-31,11.1,11.1,11.1,11.1
1889-04-30,7.3,7.3,7.3,7.3
1889-05-31,4,4,4,4
1889-06-30,10.8,10.8,10.8,10.8
1889-07-31,15.8,15.8,15.8,15.8
1889-08-31,34.3,34.3,34.3,34.3
1889-09-30,10.9,10.9,10.9,10.9
1889-10-31,3.4,3.4,3.4,3.4
1889-11-30,0.3,0.3,0.3,0.3
1889-12-31,11.2,11.2,11.2,11.2
1890-01-31,8.8,8.8,8.8,8.8
1890-02-28,1.1,1.1,1.1,1.1
1890-03-31,8.5,8.5,8.5,8.5
1890-04-30,2.7,2.7,2.7,2.7
1890-05-31,7.9,7.9,7.9,7.9
1890-06-30,2.2,2.2,2.2,2.2
1890-07-31,19.3,19.3,19.3,19.3
1890-08-31,14.2,14.2,14.2,14.2
1890-09-30,28.6,28.6,28.6,28.6
1890-10-31,18.6,18.6,18.6,18.6
1890-11-30,15.9,15.9,15.9,15.9
1890-12-31,13.1,13.1,13.1,13.1
1891-01-31,22.5,22.5,22.5,22.5
1891-02-28,36.9,36.9,36.9,36.9
1891-03-31,17.2,17.2,17.2,17.2
1891-04-30,34.2,34.2,34.2,34.2
1891-05-31,68.5,68.5,68.5,68.5
1891-06-30,80.4,80.4,80.4,80.4
1891-07-31,98,98,98,98
1891-08-31,55.1,55.1,55.1,55.1
1891-09-30,89.7,89.7,89.7,89.7
1891-10-31,86,86,86,86
1891-11-30,69.8,69.8,69.8,69.8
1891-12-31,54.3,54.3,54.3,54.3
1892-01-31,115.2,115.2,115.2,115.2
1892-02-29,126.1,126.1,126.1,126.1
1892-03-31,83.3,83.3,83.3,83.3
1892-04-30,116,116,116,116
1892-05-31,132.7,132.7,132.7,132.7
1892-06-30,127.3,127.3,127.3,127.3
1892-07-31,127.6,127.6,127.6,127.6
1892-08-31,169,169,169,169
1892-09-30,104.7,104.7,104.7,104.7
1892-10-31,117.5,117.5,117.5,117.5
1892-11-30,108.9,108.9,108.9,108.9
1892-12-31,131,131,131,131
1893-01-31,125,125,125,125
1893-02-28,121.6,121.6,121.6,121.6
1893-03-31,109.5,109.5,109.5,109.5
1893-04-30,146.8,146.8,146.8,146.8
1893-05-31,141.3,141.3,141.3,141.3
1893-06-30,149.8,149.8,149.8,149.8
1893-07-31,147.6,147.6,147.6,147.6
1893-08-31,215.4,215.4,215.4,215.4
1893-09-30,129.9,129.9,129.9,129.9
1893-10-31,133.3,133.3,133.3,133.3
1893-11-30,125.2,125.2,125.2,125.2
1893-12-31,156.4,156.4,156.4,156.4
1894-01-31,138.6,138.6,138.6,138.6
1894-02-28,141,141,141,141
1894-03-31,87.1,87.1,87.1,87.1
1894-04-30,136,136,136,136
1894-05-31,168.7,168.7,168.7,168.7
1894-06-30,164.8,164.8,164.8,164.8
1894-07-31,176.7,176.7,176.7,176.7
1894-08-31,117.1,117.1,117.1,117.1
1894-09-30,110,110,110,110
1894-10-31,125.7,125.7,125.7,125.7
1894-11-30,94.3,94.3,94.3,94.3
1894-12-31,100.1,100.1,100.1,100.1
1895-01-31,105.4,105.4,105.4,105.4
1895-02-28,112,112,112,112
1895-03-31,101.6,101.6,101.6,101.6
1895-04-30,128.2,128.2,128.2,128.2
1895-05-31,112.5,112.5,112.5,112.5
1895-06-30,119.1,119.1,119.1,119.1
1895-07-31,79.7,79.7,79.7,79.7
1895-08-31,114.9,114.9,114.9,114.9
1895-09-30,96.1,96.1,96.1,96.1
1895-10-31,113.2,113.2,113.2,113.2
1895-11-30,78.6,78.6,78.6,78.6
1895-12-31,117.9,117.9,117.9,117.9
1896-01-31,48.4,48.4,48.4,48.4
1896-02-29,95.7,95.7,95.7,95.7
1896-03-31,86.5,86.5,86.5,86.5
1896-04-30,73,73,73,73
1896-05-31,46.1,46.1,46.1,46.1
1896-06-30,81.7,81.7,81.7,81.7
1896-07-31,75.2,75.2,75.2,75.2
1896-08-31,45.4,45.4,45.4,45.4
1896-09-30,102.2,102.2,102.2,102.2
1896-10-31,47.9,47.9,47.9,47.9
1896-11-30,63.3,63.3,63.3,63.3
1896-12-31,71,71,71,71
1897-01-31,67.6,67.6,67.6,67.6
1897-02-28,49,49,49,49
1897-03-31,48.7,48.7,48.7,48.7
1897-04-30,51.7,51.7,51.7,51.7
1897-05-31,33.3,33.3,33.3,33.3
1897-06-30,18.9,18.9,18.9,18.9
1897-07-31,46.1,46.1,46.1,46.1
1897-08-31,36.4,36.4,36.4,36.4
1897-09-30,80.4,80.4,80.4,80.4
1897-10-31,23.9,23.9,23.9,23.9
1897-11-30,14,14,14,14
1897-12-31,55.5,55.5,55.5,55.5
1898-01-31,50.4,50.4,50.4,50.4
1898-02-28,60.7,60.7,60.7,60.7
1898-03-31,63.9,63.9,63.9,63.9
1898-04-30,24.2,24.2,24.2,24.2
1898-05-31,43,43,43,43
1898-06-30,37.1,37.1,37.1,37.1
1898-07-31,15,15,15,15
1898-08-31,52.3,52.3,52.3,52.3
1898-09-30,58.1,58.1,58.1,58.1
1898-10-31,57.1,57.1,57.1,57.1
1898-11-30,51.6,51.6,51.6,51.6
1898-12-31,21.1,21.1,21.1,21.1
1899-01-31,32.4,32.4,32.4,32.4
1899-02-28,15.3,15.3,15.3,15.3
1899-03-31,30.3,30.3,30.3,30.3
1899-04-30,23.6,23.6,23.6,23.6
1899-05-31,12.9,12.9,12.9,12.9
1899-06-30,34.1,34.1,34.1,34.1
1899-07-31,22.5,22.5,22.5,22.5
1899-08-31,4.9,4.9,4.9,4.9
1899-09-30,14,14,14,14
1899-10-31,21.7,21.7,21.7,21.7
1899-11-30,13,13,13,13
1899-12-31,17.6,17.6,17.6,17.6
1900-01-31,15.7,15.7,15.7,15.7
1900-02-28,22.8,22.8,22.8,22.8
1900-03-31,14.4,14.4,14.4,14.4
1900-04-30,26.8,26.8,26.8,26.8
1900-05-31,25.3,25.3,25.3,25.3
1900-06-30,20.1,20.1,20.1,20.1
1900-07-31,13.9,13.9,13.9,13.9
1900-08-31,7.1,7.1,7.1,7.1
1900-09-30,13.9,13.9,13.9,13.9
1900-10-31,21.6,21.6,21.6,21.6
1900-11-30,7.5,7.5,7.5,7.5
1900-12-31,0.5,0.5,0.5,0.5
1901-01-31,0.4,0.4,0.4,0.4
1901-02-28,4,4,4,4
1901-03-31,7.4,7.4,7.4,7.4
1901-04-30,0.1,0.1,0.1,0.1
1901-05-31,17,17,17,17
1901-06-30,9.7,9.7,9.7,9.7
1901-07-31,1.2,1.2,1.2,1.2
1901-08-31,1.7,1.7,1.7,1.7
1901-09-30,0.9,0.9,0.9,0.9
1901-10-31,6.3,6.3,6.3,6.3
1901-11-30,6.4,6.4,6.4,6.4
1901-12-31,0.1,0.1,0.1,0.1
1902-01-31,9.3,9.3,9.3,9.3
1902-02-28,0.1,0.1,0.1,0.1
1902-03-31,20.7,20.7,20.7,20.7
1902-04-30,0.1,0.1,0.1,0.1
1902-05-31,4.7,4.7,4.7,4.7
1902-06-30,2.4,2.4,2.4,2.4
1902-07-31,1.5,1.5,1.5,1.5
1902-08-31,3.8,3.8,3.8,3.8
1902-09-30,12.6,12.6,12.6,12.6
1902-10-31,27.2,27.2,27.2,27.2
1902-11-30,17.2,17.2,17.2,17.2
1902-12-31,1.8,1.8,1.8,1.8
1903-01-31,13.9,13.9,13.9,13.9
1903-02-28,28.4,28.4,28.4,28.4
1903-03-31,22.5,22.5,22.5,22.5
1903-04-30,43.5,43.5,43.5,43.5
1903-05-31,24.3,24.3,24.3,24.3
1903-06-30,27.2,27.2,27.2,27.2
1903-07-31,46.4,46.4,46.4,46.4
1903-08-31,48,48,48,48
1903-09-30,18.5,18.5,18.5,18.5
1903-10-31,64.8,64.8,64.8,64.8
1903-11-30,74.2,74.2,74.2,74.2
1903-12-31,76.2,76.2,76.2,76.2
1904-01-31,52.6,52.6,52.6,52.6
1904-02-29,40.8,40.8,40.8,40.8
1904-03-31,61.9,61.9,61.9,61.9
1904-04-30,71.6,71.6,71.6,71.6
1904-05-31,65.7,65.7,65.7,65.7
1904-06-30,69.8,69.8,69.8,69.8
1904-07-31,84.3,84.3,84.3,84.3
1904-08-31,97.1,97.1,97.1,97.1
1904-09-30,50.2,50.2,50.2,50.2
1904-10-31,90.4,90.4,90.4,90.4
1904-11-30,63.4,63.4,63.4,63.4
1904-12-31,91.1,91.1,91.1,91.1
1905-01-31,91.2,91.2,91.2,91.2
1905-02-28,143,143,143,143
1905-03-31,94.3,94.3,94.3,94.3
1905-04-30,65.5,65.5,65.5,65.5
1905-05-31,79.9,79.9,79.9,79.9
1905-06-30,81.6,81.6,81.6,81.6
1905-07-31,121.6,121.6,121.6,121.6
1905-08-31,98.1,98.1,98.1,98.1
1905-09-30,91.8,91.8,91.8,91.8
1905-10-31,131.2,131.2,131.2,131.2
1905-11-30,178.7,178.7,178.7,178.7
1905-12-31,92.5,92.5,92.5,92.5
1906-01-31,75.8,75.8,75.8,75.8
1906-02-28,52.3,52.3,52.3,52.3
1906-03-31,107.4,107.4,107.4,107.4
1906-04-30,92.2,92.2,92.2,92.2
1906-05-31,96.2,96.2,96.2,96.2
1906-06-30,105.3,105.3,105.3,105.3
1906-07-31,172.7,172.7,172.7,172.7
1906-08-31,79.6,79.6,79.6,79.6
1906-09-30,93.5,93.5,93.5,93.5
1906-10-31,29.7,29.7,29.7,29.7
1906-11-30,64.8,64.8,64.8,64.8
1906-12-31,108,108,108,108
1907-01-31,127.4,127.4,127.4,127.4
1907-02-28,180.3,180.3,180.3,180.3
1907-03-31,101.1,101.1,101.1,101.1
1907-04-30,87.6,87.6,87.6,87.6
1907-05-31,71.4,71.4,71.4,71.4
1907-06-30,67.2,67.2,67.2,67.2
1907-07-31,82.9,82.9,82.9,82.9
1907-08-31,90.5,90.5,90.5,90.5
1907-09-30,141.7,141.7,141.7,141.7
1907-10-31,109.1,109.1,109.1,109.1
1907-11-30,102.5,102.5,102.5,102.5
1907-12-31,78.9,78.9,78.9,78.9
1908-01-31,65.4,65.4,65.4,65.4
1908-02-29,56.6,56.6,56.6,56.6
1908-03-31,47.9,47.9,47.9,47.9
1908-04-30,96.1,96.1,96.1,96.1
